Participant,Scenario,intData_HandoffTime,intData_HandoffMisses,intData_AcceptTime,intData_AcceptMisses,intData_CDT,intData_ConfMisses,intData_FalseAlarms
56,1,3164.2,0,3123.18,1,9283.93,1,0
56,2,5763.75,1,4595.36,0,10169.8,1,1
56,3,1767.7,0,3841.315,1,21655,0,0
56,4,3063.023333,0,2993.435,1,11978.215,0,0
56,5,1955.333333,0,4413.67,1,nan,2,0
57,1,4414.05,0,4520.59,1,nan,2,0
57,2,1604.41,0,6961.516667,0,nan,2,0
57,3,10117,1,5001.495,1,18317.5,0,0
57,4,5236.97,0,9473.37,2,21244.5,0,0
57,5,3215.033333,0,5017.513333,1,nan,2,0
58,1,4633.3,1,4403.843333,1,12104.8,1,0
58,2,2794.425,0,7283.636667,0,nan,2,0
58,3,3313.85,0,4479.435,1,nan,2,0
58,4,3006.386667,0,3452.66,1,nan,2,0
58,5,2763.366667,0,5904.295,2,nan,2,0
59,1,2055.6,0,2892.486667,1,12085.9,1,0
59,2,2942.33,0,3317.41,1,14802,1,0
59,3,2807.35,0,3535.45,1,nan,2,0
59,4,1826.245,1,5686.46,2,22517.9,1,0
59,5,3481.7,2,3099.61,1,25565.8,1,0
60,1,3566.1,0,6451.2,1,nan,2,0
60,2,3551.14,0,5546.81,0,7242.94,1,0
60,3,2542.05,0,3527.76,1,nan,2,0
60,4,2611.663333,0,2944.96,1,11606.58,0,0
60,5,2628.066667,0,3502.2,2,nan,2,0
